id,area,type,totalcar,totalmotor,totalbike,Pregnancy_First,Handicap_First,type2,serviceTime,totallargemotor,ChargingStation,farecar_weekday,farecar_night,farecar_haliday,farecar_month,faremotor_day/hour,faremotor_month,largemotor_month,parking_fare_classification
TPE0142,南港區,1,20,0,0,0,1,1.0,1,0.0,1.0,40.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0144,士林區,1,31,0,0,1,2,1.0,1,0.0,0.0,20.0,-1.0,-1.0,4800.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0145,信義區,1,186,420,0,3,3,2.0,0,0.0,0.0,120.0,-1.0,-1.0,7000.0,20.0,-1.0,2000.0,mixed_parking_lot
TPE0147,大安區,1,48,0,0,0,1,2.0,1,0.0,0.0,50.0,-1.0,-1.0,6000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0148,大安區,1,40,0,0,0,1,2.0,1,0.0,0.0,50.0,-1.0,-1.0,6000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0149,大安區,2,46,11,0,0,1,2.0,1,0.0,0.0,100.0,-1.0,-1.0,4000.0,25.0,-1.0,2000.0,mixed_parking_lot
TPE0150,大安區,1,49,0,0,0,1,2.0,1,0.0,0.0,50.0,-1.0,-1.0,6000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0151,松山區,1,151,0,0,2,4,2.0,1,0.0,1.0,40.0,30.0,-1.0,4500.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0152,萬華區,1,2,0,0,0,1,2.0,1,0.0,0.0,80.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0153,文山區,1,46,0,0,1,2,1.0,1,0.0,0.0,30.0,-1.0,-1.0,5000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0154,中正區,1,57,0,0,0,2,1.0,1,0.0,2.0,30.0,-1.0,-1.0,7200.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0155,松山區,1,214,0,0,0,5,1.0,1,0.0,4.0,40.0,10.0,50.0,6500.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0156,大同區,1,269,0,0,5,4,1.0,1,1.0,8.0,40.0,30.0,-1.0,5760.0,-1.0,-1.0,2880.0,car_and_largemotor
TPE0157,南港區,1,180,0,0,0,5,1.0,1,0.0,0.0,20.0,30.0,30.0,4500.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0158,北投區,1,60,23,0,2,2,2.0,1,0.0,0.0,30.0,-1.0,-1.0,7000.0,20.0,-1.0,2000.0,mixed_parking_lot
TPE0159,中正區,1,14,0,0,0,1,2.0,1,0.0,0.0,80.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0160,北投區,1,209,350,0,4,5,1.0,1,0.0,0.0,20.0,-1.0,30.0,7000.0,20.0,-1.0,2000.0,mixed_parking_lot
TPE0161,中山區,1,86,0,0,1,2,1.0,1,0.0,0.0,30.0,-1.0,40.0,4800.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0162,士林區,1,14,0,0,0,1,1.0,1,0.0,0.0,30.0,-1.0,-1.0,7200.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0163,松山區,1,217,0,0,6,5,1.0,1,0.0,4.0,30.0,10.0,40.0,6500.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0164,松山區,1,79,0,0,4,2,1.0,1,0.0,2.0,40.0,10.0,50.0,6500.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0165,松山區,2,18,0,0,0,1,2.0,0,0.0,0.0,80.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
