,小型車日間(元/時或次）,小型車夜間(元/時),小型車假日與特殊日(元/時）,小型車月租(元/月),機車單次(元/時或次),機車月租(元/月),大型重型機車月租(元/月)
495,150.00 ,,,10000.00 ,,,
496,,,,4000.00 ,,,
497,40.00 ,,,4920.00 ,,,
498,150.00 ,,,15000.00 ,,,
499,150.00 ,,,10000.00 ,100.00 ,,
500,20.00 ,,20.00 ,,0.00 ,,
501,80.00 ,,,6000.00 ,,,
502,30.00 ,,,5000.00 ,20.00 ,300.00 ,2500.00 
503,200.00 ,,,10000.00 ,,,
504,80.00 ,,,12000.00 ,,2000.00 ,
505,30.00 ,,,,20.00 ,,
506,100.00 ,,,5000.00 ,100.00 ,,
507,80.00 ,,,8000.00 ,,,
508,,,,4800.00 ,,300.00 ,
509,,,,,30.00 ,,
510,,,,,30.00 ,,
511,150.00 ,,,,,,
512,150.00 ,,,8000.00 ,,,
513,200.00 ,,,,,,
514,20.00 ,,,3000.00 ,,,
515,150.00 ,,,15000.00 ,,,
516,50.00 ,,,6000.00 ,,,
517,120.00 ,,,,,,
518,120.00 ,,,,,,
519,40.00 ,,,5200.00 ,,,
520,150.00 ,,,15000.00 ,,,
521,100.00 ,,,8000.00 ,,,
522,60.00 ,,,8000.00 ,,,
523,120.00 ,,,,20.00 ,,
524,20.00 ,,,4800.00 ,,,
525,30.00 ,,,4000.00 ,,,
526,30.00 ,,,,,,
527,120.00 ,,,12000.00 ,,,
528,60.00 ,,,5000.00 ,20.00 ,3000.00 ,
529,,,,2500.00 ,,,
530,30.00 ,,,5750.00 ,20.00 ,300.00 ,
531,20.00 ,10.00 ,,2500.00 ,10.00 ,300.00 ,
532,20.00 ,,,,0.00 ,,
533,30.00 ,,,4600.00 ,10.00 ,300.00 ,2300.00 
534,20.00 ,,,4200.00 ,,,
535,30.00 ,,,7200.00 ,,,
536,30.00 ,,,,,,
537,150.00 ,,,10000.00 ,,,
538,120.00 ,,,,,,
539,50.00 ,,,5000.00 ,,,
540,30.00 ,20.00 ,,3500.00 ,20.00 ,300.00 ,
541,60.00 ,,,,,,
542,20.00 ,,,,,,
543,50.00 ,,,,,,
544,100.00 ,,,10000.00 ,,,
545,150.00 ,,,15000.00 ,,,
546,20.00 ,,,3000.00 ,0.00 ,,
547,,,,,30.00 ,500.00 ,
548,120.00 ,,,12000.00 ,,,
549,80.00 ,,,,,,
550,100.00 ,10000.00 ,,,,,
551,30.00 ,,,,20.00 ,,
552,60.00 ,,,6000.00 ,,,
553,100.00 ,,,,,,
554,30.00 ,,,7200.00 ,20.00 ,2400.00 ,
555,,,,,20.00 ,1200.00 ,
556,60.00 ,,,,,,
557,,,,4000.00 ,,,
558,50.00 ,,,6000.00 ,,,
559,180.00 ,,,10000.00 ,,,
560,100.00 ,,,8000.00 ,,,
561,200.00 ,,,20000.00 ,,,
562,30.00 ,,,5000.00 ,10.00 ,300.00 ,
563,,,,3000.00 ,,,
564,100.00 ,,,10000.00 ,,,
565,30.00 ,,,4800.00 ,,,
566,30.00 ,,,4000.00 ,,,
567,90.00 ,,,,,,
