type,totalcar,totalmotor,totalbike,Pregnancy_First,Handicap_First,totallargemotor,ChargingStation,serviceTime,farecar_weekday,farecar_night,farecar_haliday,farecar_month,faremotor_day_hour,faremotor_month,largemotor_month,parking_fare_classification,中山區,中正區,信義區,內湖區,北投區,南港區,士林區,大同區,大安區,文山區,松山區,萬華區
1.0,35.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,20.0,4800.0,-1.0,100.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,716.0,0.0,0.0,14.0,15.0,4.0,14.0,1.0,30.0,10.0,-1.0,5000.0,-1.0,-1.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,291.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,180.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,96.0,150.0,0.0,2.0,2.0,0.0,0.0,1.0,100.0,-1.0,-1.0,10000.0,30.0,3000.0,2000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,193.0,0.0,0.0,5.0,4.0,1.0,5.0,1.0,50.0,10.0,-1.0,6000.0,-1.0,-1.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,80.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,695.0,0.0,0.0,13.0,14.0,0.0,0.0,1.0,50.0,-1.0,-1.0,5400.0,-1.0,-1.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,187.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,120.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,60.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,164.0,167.0,0.0,0.0,3.0,0.0,5.0,1.0,30.0,10.0,40.0,3500.0,20.0,300.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,260.0,0.0,0.0,7.0,6.0,1.0,2.0,1.0,30.0,-1.0,-1.0,5250.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,-1.0,120.0,8000.0,-1.0,-1.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,749.0,0.0,0.0,14.0,16.0,0.0,15.0,1.0,20.0,-1.0,-1.0,4800.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,1360.0,344.0,20.0,29.0,27.0,2.0,37.0,1.0,20.0,10.0,40.0,4200.0,10.0,300.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1998.0,1405.0,0.0,40.0,45.0,28.0,40.0,1.0,30.0,10.0,-1.0,4200.0,10.0,300.0,2000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,39.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,20.0,-1.0,-1.0,4800.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,522.0,0.0,0.0,12.0,11.0,4.0,14.0,1.0,50.0,10.0,-1.0,5760.0,-1.0,-1.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,184.0,0.0,0.0,3.0,4.0,0.0,8.0,1.0,40.0,10.0,-1.0,4800.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,496.0,0.0,0.0,9.0,10.0,1.0,10.0,1.0,30.0,20.0,20.0,3600.0,-1.0,-1.0,1800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,279.0,422.0,0.0,5.0,5.0,0.0,6.0,0.0,30.0,-1.0,-1.0,4200.0,20.0,-1.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
