antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ChargingStation=0.0'}),"frozenset({'largemotor_month=1.0', 'type2=2.0'})",0.7289494787489976,0.49238171611868486,0.4723336006415397,0.6479647964796479,1.315980620863389,1.0,0.11341220533128743,1.4419531876503604,0.88585105634864,0.6306209850107065,0.30649621044252906,0.8036240920508988
"frozenset({'totalbike=0.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.7289494787489976,0.5,0.47995188452285487,0.6584158415841584,1.316831683168317,1.0,0.11547714514835605,1.463768115942029,0.8876629443431063,0.6407922912205567,0.3168316831683169,0.809159805314934
frozenset({'ChargingStation=0.0'}),"frozenset({'totalbike=0.0', 'type2=2.0'})",0.7289494787489976,0.5,0.47995188452285487,0.6584158415841584,1.316831683168317,1.0,0.11547714514835605,1.463768115942029,0.8876629443431063,0.6407922912205567,0.3168316831683169,0.809159805314934
"frozenset({'totalcar=1.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.698476343223737,0.5,0.46752205292702487,0.669345579793341,1.338691159586682,1.0,0.11828388131515638,1.5121527777777777,0.839077497171636,0.63960504662644,0.33869115958668194,0.8021948428236954
frozenset({'ChargingStation=0.0'}),"frozenset({'totalcar=1.0', 'type2=2.0'})",0.7289494787489976,0.48757016840417,0.46752205292702487,0.6413641364136413,1.3154294047825834,1.0,0.11210803281524417,1.4288304200018693,0.8846762816283864,0.6241970021413277,0.30012688279782584,0.8001228576805048
"frozenset({'totallargemotor=0.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.7273456295108259,0.5,0.47995188452285487,0.6598676957001103,1.3197353914002206,1.0,0.1162790697674419,1.4700162074554297,0.8885694628728684,0.642167381974249,0.31973539140022056,0.8098857323729101
frozenset({'ChargingStation=0.0'}),"frozenset({'totallargemotor=0.0', 'type2=2.0'})",0.7289494787489976,0.5,0.47995188452285487,0.6584158415841584,1.316831683168317,1.0,0.11547714514835605,1.463768115942029,0.8876629443431063,0.6407922912205567,0.3168316831683169,0.809159805314934
"frozenset({'totalmotor=0.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.5721732157177225,0.5,0.4153969526864475,0.7259985984583042,1.4519971969166083,1.0,0.12931034482758624,1.8248081841432227,0.7276155858630087,0.6324786324786325,0.45199719691660833,0.7783962519155996
frozenset({'totalmotor=0.0'}),"frozenset({'type2=2.0', 'ChargingStation=0.0'})",0.7281475541299118,0.47995188452285487,0.4153969526864475,0.5704845814977973,1.1886286936136228,1.0,0.06592116187108882,1.210778689367302,0.5837518934864065,0.5240263024785027,0.17408523227101508,0.7179908287605946
frozenset({'ChargingStation=0.0'}),"frozenset({'totalmotor=0.0', 'type2=2.0'})",0.7289494787489976,0.4290296712109062,0.4153969526864475,0.5698569856985699,1.3282460956376012,1.0,0.10265599748940363,1.327396493271832,0.9117395078933543,0.5593952483801297,0.24664559152544477,0.7690406423819953
frozenset({'ChargingStation=0.0'}),"frozenset({'totalmotor=1.0', 'type2=2.0'})",0.7289494787489976,0.07097032878909383,0.06455493183640738,0.08855885588558857,1.2478293027042817,1.0,0.012821147658952453,1.0192974908035168,0.7327354919328162,0.08778625954198474,0.01893214785440564,0.49908168782979995
frozenset({'ChargingStation=0.0'}),"frozenset({'type=0.0', 'type2=2.0'})",0.7289494787489976,0.19807538091419408,0.18644747393744987,0.25577557755775576,1.2913042316377386,1.0,0.04206052826703893,1.0775306411662935,0.8322771521282681,0.2517596101786681,0.07195214521452142,0.5985355620582301
"frozenset({'type=1.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.37169206094627105,0.5,0.293504410585405,0.7896440129449839,1.5792880258899678,1.0,0.10765838011226947,2.3769230769230774,0.5837953905865861,0.5076282940360611,0.5792880258899678,0.6883264170578969
frozenset({'type=1.0'}),"frozenset({'type2=2.0', 'ChargingStation=0.0'})",0.3917401764234162,0.47995188452285487,0.293504410585405,0.7492323439099284,1.5610571977538525,1.0,0.10548797466767076,2.0738245258006978,0.5908798642705081,0.5076282940360611,0.5177991254520906,0.6803805829825331
frozenset({'ChargingStation=0.0'}),"frozenset({'type=1.0', 'type2=2.0'})",0.7289494787489976,0.3019246190858059,0.293504410585405,0.40264026402640263,1.3335787762043136,1.0,0.07341661688131712,1.1686013282707226,0.9228465418566306,0.39804241435562804,0.1442761737402919,0.6873759089056317
"frozenset({'Handicap_First=1.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.6295108259823576,0.5,0.41339214113873296,0.656687898089172,1.313375796178344,1.0,0.09863672814755414,1.4564007421150282,0.6440223210349302,0.5772676371780515,0.3133757961783441,0.741736090183319
frozenset({'Pregnancy_First=0.0'}),"frozenset({'type2=2.0', 'Handicap_First=1.0'})",0.6631916599839615,0.4859663191659984,0.41339214113873296,0.6233373639661427,1.2826760608346204,1.0,0.09110333123473885,1.3647057914918759,0.6543185072283035,0.5618528610354222,0.26724133052383764,0.7369987149863717
"frozenset({'farecar_weekday=0.0', 'Handicap_First=1.0'})",frozenset({'type2=2.0'}),0.07337610264635125,0.5,0.05012028869286287,0.6830601092896175,1.366120218579235,1.0,0.013432237369687246,1.5775862068965516,0.2892219818260493,0.09578544061302681,0.36612021857923494,0.3916503433376716
"frozenset({'faremotor_day/hour=0.0', 'Handicap_First=1.0'})",frozenset({'type2=2.0'}),0.7457898957497995,0.5,0.4362469927826784,0.5849462365591398,1.1698924731182796,1.0,0.06335204490777868,1.2046632124352332,0.5712620616069772,0.5388806339772164,0.1698924731182796,0.7287201110622483
frozenset({'faremotor_day/hour=0.0'}),"frozenset({'type2=2.0', 'Handicap_First=1.0'})",0.7582197273456295,0.4859663191659984,0.4362469927826784,0.5753569539925966,1.1839440950969766,1.0,0.06777774276547593,1.2105077091620138,0.6425897473417225,0.5399503722084367,0.1739003457547081,0.7365233614847471
"frozenset({'totalmotor=0.0', 'Handicap_First=1.0'})",frozenset({'type2=2.0'}),0.7241379310344828,0.5,0.42662389735364875,0.5891472868217054,1.1782945736434107,1.0,0.06455493183640737,1.2169811320754715,0.5485197368421052,0.5349421820010055,0.17829457364341073,0.7211975407645015
frozenset({'totalmotor=0.0'}),"frozenset({'type2=2.0', 'Handicap_First=1.0'})",0.7281475541299118,0.4859663191659984,0.42662389735364875,0.5859030837004405,1.2056454544132826,1.0,0.0727687106634109,1.2413366547799825,0.6274314103843676,0.5417515274949083,0.19441676345467912,0.7318954362396592
"frozenset({'type=1.0', 'Handicap_First=1.0'})",frozenset({'type2=2.0'}),0.3688853247794707,0.5,0.29310344827586204,0.7945652173913043,1.5891304347826085,1.0,0.10866078588612668,2.4338624338624326,0.5874131100979146,0.5090529247910863,0.5891304347826085,0.6903860569715141
frozenset({'type=1.0'}),"frozenset({'type2=2.0', 'Handicap_First=1.0'})",0.3917401764234162,0.4859663191659984,0.29310344827586204,0.7482088024564995,1.5396309845928298,1.0,0.10273091666993564,2.041507748678128,0.5762236828934635,0.5013717421124827,0.5101659542328468,0.6756720579939263
"frozenset({'farecar_haliday=0.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.6359262229350441,0.5,0.4190056134723336,0.6588902900378311,1.3177805800756621,1.0,0.10104250200481157,1.4658040665434382,0.6623611491684759,0.5844519015659956,0.3177805800756621,0.7484507584912492
frozenset({'Pregnancy_First=0.0'}),"frozenset({'farecar_haliday=0.0', 'type2=2.0'})",0.6631916599839615,0.4843624699278268,0.4190056134723336,0.63180169286578,1.3043985281517014,1.0,0.09778046300696658,1.4004342770761489,0.6928662565504674,0.5751238304898185,0.28593578694187827,0.7484339590156714
"frozenset({'farecar_month=1.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.6419406575781876,0.5,0.4198075380914194,0.6539662710805747,1.3079325421611494,1.0,0.09883720930232559,1.4449458483754516,0.6575294848717232,0.5813436979455858,0.3079325421611494,0.7467906736317067
frozenset({'Pregnancy_First=0.0'}),"frozenset({'type2=2.0', 'farecar_month=1.0'})",0.6631916599839615,0.49238171611868486,0.4198075380914194,0.6330108827085853,1.2856100500612473,1.0,0.09326409043291711,1.3831971030307997,0.6596011279392368,0.5705722070844688,0.2770372365522999,0.7428083729503838
"frozenset({'farecar_night=0.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.6415396952686447,0.5,0.4198075380914194,0.654375,1.30875,1.0,0.09903769045709704,1.4466546112115735,0.6581262326151848,0.5816666666666668,0.3087500000000001,0.7469950380914194
frozenset({'farecar_night=0.0'}),"frozenset({'type2=2.0', 'Pregnancy_First=0.0'})",0.8853247794707297,0.42742582197273454,0.4198075380914194,0.4741847826086957,1.109396667754303,1.0,0.04139686651331281,1.088926602139709,0.8598994129080094,0.4701392007184554,0.08166445926196572,0.7281805714169183
frozenset({'Pregnancy_First=0.0'}),"frozenset({'farecar_night=0.0', 'type2=2.0'})",0.6631916599839615,0.48115477145148355,0.4198075380914194,0.6330108827085853,1.3156076178960099,1.0,0.10070970650330646,1.4137891400646563,0.7122595169873109,0.5794133923630328,0.29268094395302297,0.7527554413542927
"frozenset({'farecar_weekday=0.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.09302325581395349,0.5,0.05813953488372093,0.625,1.25,1.0,0.011627906976744186,1.3333333333333333,0.22051282051282048,0.10869565217391305,0.25,0.3706395348837209
frozenset({'farecar_weekday=0.0'}),"frozenset({'type2=2.0', 'Pregnancy_First=0.0'})",0.09663191659983962,0.42742582197273454,0.05813953488372093,0.6016597510373444,1.4076354775676707,1.0,0.01683655850223375,1.4373997594226144,0.3205656825382249,0.12478485370051634,0.30429931308623026,0.3688411325543195
frozenset({'Pregnancy_First=0.0'}),"frozenset({'farecar_weekday=0.0', 'type2=2.0'})",0.6631916599839615,0.05974338412189254,0.05813953488372093,0.08766626360338574,1.4673802780325103,1.0,0.018518220794863573,1.030605992486673,0.9456814449917901,0.08745476477683957,0.029697083764112592,0.5304103130097466
